'"Champion","Role","Ban","Play"'+
'"Aatrox","5","0.0058","0.0071"'+
'"Aatrox","1","0.0058","0.0329"'+
'"Ahri","5","0.0024","0.005"'+
'"Ahri","3","0.0024","0.0297"'+
'"Akali","5","0.0053","0.0031"'+
'"Akali","1","0.0053","0.0068"'+
'"Akali","3","0.0053","0.0112"'+
'"Alistar","5","0.0007","0.0251"'+
'"Amumu","2","0.001","0.0284"'+
'"Anivia","5","0.0007","0.0029"'+
'"Anivia","3","0.0007","0.0107"'+
'"Annie","3","0.0005","0.008"'+
'"Aphelios","5","0.0472","0.0086"'+
'"Aphelios","4","0.0472","0.0536"'+
'"Ashe","5","0.0006","0.0072"'+
'"Ashe","4","0.0006","0.0398"'+
'"Aurelion Sol","3","0.0002","0.0062"'+
'"Azir","3","0.0003","0.01"'+
'"Bard","5","0.0015","0.0368"'+
'"Blitzcrank","5","0.0226","0.0593"'+
'"Brand","5","0.0032","0.0241"'+
'"Braum","5","0.001","0.0271"'+
'"Caitlyn","4","0.0115","0.0932"'+
'"Camille","2","0.0009","0.0035"'+
'"Camille","5","0.0009","0.0035"'+
'"Camille","1","0.0009","0.0162"'+
'"Cassiopeia","4","0.0086","0.0049"'+
'"Cassiopeia","3","0.0086","0.021"'+
'"Cho'Gath","5","0.0008","0.0026"'+
'"Cho'Gath","2","0.0008","0.0027"'+
'"Cho'Gath","3","0.0008","0.0046"'+
'"Cho'Gath","1","0.0008","0.0096"'+
'"Corki","3","0.0002","0.0042"'+
'"Darius","1","0.0498","0.0497"'+
'"Diana","2","0.0244","0.0111"'+
'"Diana","3","0.0244","0.0412"'+
'"Dr. Mundo","1","0.0012","0.008"'+
'"Dr. Mundo","2","0.0012","0.0087"'+
'"Draven","4","0.006","0.0203"'+
'"Ekko","3","0.0258","0.0238"'+
'"Ekko","2","0.0258","0.0627"'+
'"Elise","2","0.0181","0.06"'+
'"Evelynn","2","0.0065","0.0212"'+
'"Ezreal","4","0.0044","0.131"'+
'"Fiddlesticks","2","0.0008","0.0058"'+
'"Fiddlesticks","5","0.0008","0.0095"'+
'"Fiora","5","0.0112","0.0056"'+
'"Fiora","1","0.0112","0.0322"'+
'"Fizz","5","0.0148","0.0051"'+
'"Fizz","3","0.0148","0.03"'+
'"Galio","5","0.0003","0.0045"'+
'"Galio","3","0.0003","0.0083"'+
'"Gangplank","1","0.0015","0.0173"'+
'"Garen","1","0.0156","0.0603"'+
'"Gnar","1","0.0007","0.0134"'+
'"Gragas","2","0.0004","0.0281"'+
'"Graves","2","0.0011","0.0375"'+
'"Hecarim","2","0.0007","0.0187"'+
'"Heimerdinger","1","0.0007","0.0026"'+
'"Heimerdinger","3","0.0007","0.0038"'+
'"Heimerdinger","4","0.0007","0.0044"'+
'"Illaoi","1","0.0037","0.013"'+
'"Irelia","3","0.0042","0.0147"'+
'"Irelia","1","0.0042","0.0226"'+
'"Ivern","2","0.0003","0.0074"'+
'"Janna","5","0.0007","0.0421"'+
'"Jarvan IV","2","0.0017","0.0606"'+
'"Jax","2","0.0081","0.0221"'+
'"Jax","1","0.0081","0.0308"'+
'"Jayce","3","0.0003","0.0029"'+
'"Jayce","1","0.0003","0.0071"'+
'"Jhin","4","0.0012","0.0642"'+
'"Jinx","4","0.0004","0.0443"'+
'"Kai'Sa","4","0.0018","0.0885"'+
'"Kalista","5","0.0014","0.0046"'+
'"Kalista","1","0.0014","0.0068"'+
'"Kalista","4","0.0014","0.0204"'+
'"Karma","5","0.0003","0.0284"'+
'"Karthus","2","0.0054","0.0254"'+
'"Kassadin","3","0.0288","0.0302"'+
'"Katarina","5","0.0114","0.0068"'+
'"Katarina","3","0.0114","0.037"'+
'"Kayle","5","0.0007","0.0025"'+
'"Kayle","1","0.0007","0.0139"'+
'"Kayn","2","0.0031","0.0495"'+
'"Kennen","1","0.0007","0.0069"'+
'"Kha'Zix","2","0.0039","0.0451"'+
'"Kindred","2","0.0005","0.0143"'+
'"Kled","5","0.0028","0.0036"'+
'"Kled","1","0.0028","0.0147"'+
'"Kog'Maw","4","0.0001","0.0068"'+
'"LeBlanc","5","0.0108","0.0069"'+
'"LeBlanc","3","0.0108","0.0332"'+
'"Lee Sin","2","0.0247","0.1486"'+
'"Leona","5","0.0313","0.0643"'+
'"Lissandra","3","0.0005","0.0115"'+
'"Lucian","4","0.003","0.0694"'+
'"Lulu","5","0.0026","0.0534"'+
'"Lux","3","0.0011","0.0239"'+
'"Lux","5","0.0011","0.0378"'+
'"Malphite","2","0.0025","0.0051"'+
'"Malphite","5","0.0025","0.0083"'+
'"Malphite","1","0.0025","0.0223"'+
'"Malzahar","3","0.0041","0.0154"'+
'"Maokai","5","0.0005","0.0093"'+
'"Maokai","1","0.0005","0.0185"'+
