,blueTopIndex,blueTopName,blueTopPlay,blueJungleIndex,blueJungleName,blueJunglePlay,blueMidIndex,blueMidName,blueMidPlay,blueBotIndex,blueBotName,blueBotPlay,blueSupportIndex,blueSupportName,blueSupportPlay,realistic_blue,blue_excel_early,blue_excel_late,blue_excel_general,TFearly,TFlate,ChampFam,participant_id,language
0,95,Rengar,0.00241798,80,Nidalee,0.01092913,79,Neeko,0.004954702,46,Jhin,0.03707166,42,Janna,0.022342847,3,,,,,,5,21,Silver
1,95,Rengar,0.00241798,80,Nidalee,0.01092913,79,Neeko,0.004954702,46,Jhin,0.03707166,42,Janna,0.022342847,3,0.68,0.72,0.73,,,5,21,Silver
2,95,Rengar,0.00241798,80,Nidalee,0.01092913,79,Neeko,0.004954702,46,Jhin,0.03707166,42,Janna,0.022342847,3,0.68,0.72,0.73,FALSE,TRUE,5,21,Silver
3,29,Fiora,0.016196719,134,Volibear,0.004609928,2,Akali,0.004561016,128,Vayne,0.038461798,111,Swain,0.008600116,3,,,,,,5,21,Silver
4,29,Fiora,0.016196719,134,Volibear,0.004609928,2,Akali,0.004561016,128,Vayne,0.038461798,111,Swain,0.008600116,3,0.26,0.99,0.87,,,5,21,Silver
5,29,Fiora,0.016196719,134,Volibear,0.004609928,2,Akali,0.004561016,128,Vayne,0.038461798,111,Swain,0.008600116,3,0.26,0.99,0.87,FALSE,TRUE,5,21,Silver
6,85,Ornn,0.019384113,25,Elise,0.034180743,81,Nocturne,0.001942832,65,Lucian,0.040703463,11,Bard,0.019011544,3,,,,,,5,21,Silver
7,85,Ornn,0.019384113,25,Elise,0.034180743,81,Nocturne,0.001942832,65,Lucian,0.040703463,11,Bard,0.019011544,3,0.24,0.77,0.69,,,5,21,Silver
8,85,Ornn,0.019384113,25,Elise,0.034180743,81,Nocturne,0.001942832,65,Lucian,0.040703463,11,Bard,0.019011544,3,0.24,0.77,0.69,FALSE,TRUE,5,21,Silver
9,94,Renekton,0.01481854,62,Lee Sin,0.101489841,5,Anivia,0.00431778,47,Jinx,0.023751141,101,Sett,0.00505396,4,,,,,,5,21,Silver
10,94,Renekton,0.01481854,62,Lee Sin,0.101489841,5,Anivia,0.00431778,47,Jinx,0.023751141,101,Sett,0.00505396,4,0.58,0.79,0.99,,,5,21,Silver
11,94,Renekton,0.01481854,62,Lee Sin,0.101489841,5,Anivia,0.00431778,47,Jinx,0.023751141,101,Sett,0.00505396,4,0.58,0.79,0.99,FALSE,TRUE,5,21,Silver
12,34,Gnar,0.005656213,25,Elise,0.034180743,112,Sylas,0.018578414,23,Draven,0.009310977,14,Braum,0.013169314,4,,,,,,5,21,Silver
13,34,Gnar,0.005656213,25,Elise,0.034180743,112,Sylas,0.018578414,23,Draven,0.009310977,14,Braum,0.013169314,4,0.36,0.98,0.82,,,5,21,Silver
14,34,Gnar,0.005656213,25,Elise,0.034180743,112,Sylas,0.018578414,23,Draven,0.009310977,14,Braum,0.013169314,4,0.36,0.98,0.82,FALSE,TRUE,5,21,Silver
15,96,Riven,0.008491598,62,Lee Sin,0.101489841,18,Cho'Gath,0.001567868,65,Lucian,0.040703463,119,Thresh,0.078762366,2,,,,,,5,21,Silver
16,96,Riven,0.008491598,62,Lee Sin,0.101489841,18,Cho'Gath,0.001567868,65,Lucian,0.040703463,119,Thresh,0.078762366,2,0.36,0.96,0.79,,,5,21,Silver
17,96,Riven,0.008491598,62,Lee Sin,0.101489841,18,Cho'Gath,0.001567868,65,Lucian,0.040703463,119,Thresh,0.078762366,2,0.36,0.96,0.79,FALSE,TRUE,5,21,Silver
18,85,Ornn,0.019384113,143,Zac,0.038810658,61,LeBlanc,0.016802183,7,Aphelios,0.029853671,66,Lulu,0.029720048,3,,,,,,5,21,Silver
19,85,Ornn,0.019384113,143,Zac,0.038810658,61,LeBlanc,0.016802183,7,Aphelios,0.029853671,66,Lulu,0.029720048,3,0.29,0.83,0.78,,,5,21,Silver
20,85,Ornn,0.019384113,143,Zac,0.038810658,61,LeBlanc,0.016802183,7,Aphelios,0.029853671,66,Lulu,0.029720048,3,0.29,0.83,0.78,FALSE,TRUE,5,21,Silver
21,20,Darius,0.027266392,121,Trundle,0.01075976,138,Xerath,0.005103712,27,Ezreal,0.087241988,66,Lulu,0.029720048,4,,,,,,5,21,Silver
22,20,Darius,0.027266392,121,Trundle,0.01075976,138,Xerath,0.005103712,27,Ezreal,0.087241988,66,Lulu,0.029720048,4,0.49,0.62,0.59,,,5,21,Silver
23,20,Darius,0.027266392,121,Trundle,0.01075976,138,Xerath,0.005103712,27,Ezreal,0.087241988,66,Lulu,0.029720048,4,0.49,0.62,0.59,FALSE,TRUE,5,21,Silver
24,122,Tryndamere,0.008545828,121,Trundle,0.01075976,30,Fizz,0.014878033,15,Caitlyn,0.057982788,76,Nami,0.037765663,4,,,,,,5,21,Silver
25,122,Tryndamere,0.008545828,121,Trundle,0.01075976,30,Fizz,0.014878033,15,Caitlyn,0.057982788,76,Nami,0.037765663,4,0.5,0.79,0.73,,,5,21,Silver
26,122,Tryndamere,0.008545828,121,Trundle,0.01075976,30,Fizz,0.014878033,15,Caitlyn,0.057982788,76,Nami,0.037765663,4,0.5,0.79,0.73,FALSE,TRUE,5,21,Silver
27,20,Darius,0.027266392,43,Jarvan IV,0.034591321,31,Galio,0.003183418,27,Ezreal,0.087241988,119,Thresh,0.078762366,3,,,,,,5,21,Silver
28,20,Darius,0.027266392,43,Jarvan IV,0.034591321,31,Galio,0.003183418,27,Ezreal,0.087241988,119,Thresh,0.078762366,3,0.72,0.82,0.74,,,5,21,Silver
29,20,Darius,0.027266392,43,Jarvan IV,0.034591321,31,Galio,0.003183418,27,Ezreal,0.087241988,119,Thresh,0.078762366,3,0.72,0.82,0.74,FALSE,TRUE,5,21,Silver
30,141,Yorick,0.003743418,131,Vi,0.011382915,61,LeBlanc,0.016802183,46,Jhin,0.03707166,67,Lux,0.019633158,4,,,,,,5,21,Silver
31,141,Yorick,0.003743418,131,Vi,0.011382915,61,LeBlanc,0.016802183,46,Jhin,0.03707166,67,Lux,0.019633158,4,1,0.97,0.99,,,5,21,Silver
