,blueTopIndex,blueTopName,blueTopPlay,blueJungleIndex,blueJungleName,blueJunglePlay,blueMidIndex,blueMidName,blueMidPlay,blueBotIndex,blueBotName,blueBotPlay,blueSupportIndex,blueSupportName,blueSupportPlay,redTopIndex,redTopName,redTopPlay,redJungleIndex,redJungleName,redJunglePlay,redMidIndex,redMidName,redMidPlay,redBotIndex,redBotName,redBotPlay,redSupportIndex,redSupportName,redSupportPlay,realistic_blue,realistic_red,blue_excel_early,blue_excel_mid,blue_excel_late,red_excel_early,red_excel_mid,red_excel_late,language,age,gender,education,comments,Browser,OS,screenH,screenW,time_in_minutes,participant_id,blue_excel_general,TFearly,TFlate
1,85,Ornn,0.019384113,102,Shaco,0.020697434,133,Vladimir,0.012878283,73,Miss Fortune,0.060379907,148,Zyra,0.009091252,,,,,,,,,,,,,,,,3,,0.62,,0.54,,,,English,18,Male,2,,Safari,Mac,1366,1024,6.570766667,7,0.53,,
2,85,Ornn,0.019384113,102,Shaco,0.020697434,133,Vladimir,0.012878283,73,Miss Fortune,0.060379907,148,Zyra,0.009091252,,,,,,,,,,,,,,,,3,,0.62,,0.54,,,,English,18,Male,2,,Safari,Mac,1366,1024,6.570766667,7,0.53,FALSE,TRUE
3,32,Gangplank,0.007685203,4,Amumu,0.013930991,140,Yasuo,0.027926053,128,Vayne,0.038461798,66,Lulu,0.029720048,,,,,,,,,,,,,,,,2,,,,,,,,English,18,Male,2,,Safari,Mac,1366,1024,6.570766667,7,,,
4,32,Gangplank,0.007685203,4,Amumu,0.013930991,140,Yasuo,0.027926053,128,Vayne,0.038461798,66,Lulu,0.029720048,,,,,,,,,,,,,,,,2,,0.63,,0.59,,,,English,18,Male,2,,Safari,Mac,1366,1024,6.570766667,7,0.7,,
5,32,Gangplank,0.007685203,4,Amumu,0.013930991,140,Yasuo,0.027926053,128,Vayne,0.038461798,66,Lulu,0.029720048,,,,,,,,,,,,,,,,2,,0.63,,0.59,,,,English,18,Male,2,,Safari,Mac,1366,1024,6.570766667,7,0.7,FALSE,TRUE
6,85,Ornn,0.019384113,35,Gragas,0.013754588,144,Zed,0.020949202,107,Sivir,0.007952506,110,Soraka,0.014521678,,,,,,,,,,,,,,,,1,,,,,,,,English,18,Male,2,,Safari,Mac,1366,1024,6.570766667,7,,,
7,85,Ornn,0.019384113,35,Gragas,0.013754588,144,Zed,0.020949202,107,Sivir,0.007952506,110,Soraka,0.014521678,,,,,,,,,,,,,,,,1,,0.49,,0.28,,,,English,18,Male,2,,Safari,Mac,1366,1024,6.570766667,7,0.39,,
8,85,Ornn,0.019384113,35,Gragas,0.013754588,144,Zed,0.020949202,107,Sivir,0.007952506,110,Soraka,0.014521678,,,,,,,,,,,,,,,,1,,0.49,,0.28,,,,English,18,Male,2,,Safari,Mac,1366,1024,6.570766667,7,0.39,FALSE,FALSE
9,20,Darius,0.027266392,87,Poppy,0.00341491,89,Qiyana,0.008491598,46,Jhin,0.03707166,88,Pyke,0.033362055,,,,,,,,,,,,,,,,1,,,,,,,,English,18,Male,2,,Safari,Mac,1366,1024,6.570766667,7,,,
10,20,Darius,0.027266392,87,Poppy,0.00341491,89,Qiyana,0.008491598,46,Jhin,0.03707166,88,Pyke,0.033362055,,,,,,,,,,,,,,,,1,,0.27,,0.35,,,,English,18,Male,2,,Safari,Mac,1366,1024,6.570766667,7,0.31,,
11,20,Darius,0.027266392,87,Poppy,0.00341491,89,Qiyana,0.008491598,46,Jhin,0.03707166,88,Pyke,0.033362055,,,,,,,,,,,,,,,,1,,0.27,,0.35,,,,English,18,Male,2,,Safari,Mac,1366,1024,6.570766667,7,0.31,FALSE,FALSE
12,94,Renekton,0.01481854,43,Jarvan IV,0.034591321,79,Neeko,0.004954702,48,Kai'Sa,0.054491897,14,Braum,0.013169314,,,,,,,,,,,,,,,,3,,,,,,,,English,18,Male,2,,Safari,Mac,1366,1024,6.570766667,7,,,
13,94,Renekton,0.01481854,43,Jarvan IV,0.034591321,79,Neeko,0.004954702,48,Kai'Sa,0.054491897,14,Braum,0.013169314,,,,,,,,,,,,,,,,3,,0.65,,0.67,,,,English,18,Male,2,,Safari,Mac,1366,1024,6.570766667,7,0.71,,
