,blueTopIndex,blueTopName,blueTopPlay,blueJungleIndex,blueJungleName,blueJunglePlay,blueMidIndex,blueMidName,blueMidPlay,blueBotIndex,blueBotName,blueBotPlay,blueSupportIndex,blueSupportName,blueSupportPlay,realistic_blue,blue_excel_early,blue_excel_late,blue_excel_general,TFearly,TFlate,ChampFam,participant_id
0,86,Pantheon,0.003137449,125,Udyr,0.004221115,69,Malzahar,0.006683822,48,Kai'Sa,0.054491897,129,Veigar,0.00241798,1,,,,,,3,19
1,86,Pantheon,0.003137449,125,Udyr,0.004221115,69,Malzahar,0.006683822,48,Kai'Sa,0.054491897,129,Veigar,0.00241798,1,0.27,0.54,0.8,,,3,19
2,86,Pantheon,0.003137449,125,Udyr,0.004221115,69,Malzahar,0.006683822,48,Kai'Sa,0.054491897,129,Veigar,0.00241798,1,0.27,0.54,0.8,FALSE,TRUE,3,19
3,133,Vladimir,0.009201005,55,Kayn,0.027134776,140,Yasuo,0.027926053,27,Ezreal,0.087241988,68,Malphite,0.003183418,2,,,,,,5,19
4,133,Vladimir,0.009201005,55,Kayn,0.027134776,140,Yasuo,0.027926053,27,Ezreal,0.087241988,68,Malphite,0.003183418,2,0.25,0.55,0.78,,,5,19
5,133,Vladimir,0.009201005,55,Kayn,0.027134776,140,Yasuo,0.027926053,27,Ezreal,0.087241988,68,Malphite,0.003183418,2,0.25,0.55,0.78,TRUE,TRUE,5,19
6,0,Aatrox,0.016620155,72,Master Yi,0.02992052,67,Lux,0.011326024,27,Ezreal,0.087241988,91,Rakan,0.013930991,1,,,,,,5,19
7,0,Aatrox,0.016620155,72,Master Yi,0.02992052,67,Lux,0.011326024,27,Ezreal,0.087241988,91,Rakan,0.013930991,1,0.05,0.04,0.07,,,5,19
8,0,Aatrox,0.016620155,72,Master Yi,0.02992052,67,Lux,0.011326024,27,Ezreal,0.087241988,91,Rakan,0.013930991,1,0.05,0.04,0.07,FALSE,FALSE,5,19
9,2,Akali,0.002506171,72,Master Yi,0.02992052,113,Syndra,0.013461421,73,Miss Fortune,0.060379907,76,Nami,0.037765663,4,,,,,,4,19
10,2,Akali,0.002506171,72,Master Yi,0.02992052,113,Syndra,0.013461421,73,Miss Fortune,0.060379907,76,Nami,0.037765663,4,0.12,0.12,0.09,,,4,19
11,2,Akali,0.002506171,72,Master Yi,0.02992052,113,Syndra,0.013461421,73,Miss Fortune,0.060379907,76,Nami,0.037765663,4,0.12,0.12,0.09,TRUE,FALSE,4,19
12,2,Akali,0.002506171,131,Vi,0.011382915,140,Yasuo,0.027926053,47,Jinx,0.023751141,100,Senna,0.068278741,3,,,,,,4,19
13,2,Akali,0.002506171,131,Vi,0.011382915,140,Yasuo,0.027926053,47,Jinx,0.023751141,100,Senna,0.068278741,3,0.81,0.86,0.88,,,4,19
14,2,Akali,0.002506171,131,Vi,0.011382915,140,Yasuo,0.027926053,47,Jinx,0.023751141,100,Senna,0.068278741,3,0.81,0.86,0.88,FALSE,TRUE,4,19
15,101,Sett,0.025955061,25,Elise,0.034180743,123,Twisted Fate,0.007313575,48,Kai'Sa,0.054491897,142,Yuumi,0.047117178,2,,,,,,4,19
16,101,Sett,0.025955061,25,Elise,0.034180743,123,Twisted Fate,0.007313575,48,Kai'Sa,0.054491897,142,Yuumi,0.047117178,2,0.26,0.18,0.11,,,4,19
17,101,Sett,0.025955061,25,Elise,0.034180743,123,Twisted Fate,0.007313575,48,Kai'Sa,0.054491897,142,Yuumi,0.047117178,2,0.26,0.18,0.11,FALSE,FALSE,4,19
18,70,Maokai,0.008329253,135,Warwick,0.017167223,89,Qiyana,0.008491598,48,Kai'Sa,0.054491897,78,Nautilus,0.040703463,2,,,,,,1,19
19,70,Maokai,0.008329253,135,Warwick,0.017167223,89,Qiyana,0.008491598,48,Kai'Sa,0.054491897,78,Nautilus,0.040703463,2,0.23,0.97,0.99,,,1,19
20,70,Maokai,0.008329253,135,Warwick,0.017167223,89,Qiyana,0.008491598,48,Kai'Sa,0.054491897,78,Nautilus,0.040703463,2,0.23,0.97,0.99,FALSE,FALSE,1,19
21,101,Sett,0.025955061,26,Evelynn,0.00980851,147,Zoe,0.012126756,15,Caitlyn,0.057982788,67,Lux,0.019633158,4,,,,,,4,19
22,101,Sett,0.025955061,26,Evelynn,0.00980851,147,Zoe,0.012126756,15,Caitlyn,0.057982788,67,Lux,0.019633158,4,0.9,0.92,0.92,,,4,19
23,101,Sett,0.025955061,26,Evelynn,0.00980851,147,Zoe,0.012126756,15,Caitlyn,0.057982788,67,Lux,0.019633158,4,0.9,0.92,0.92,TRUE,TRUE,4,19
24,74,Mordekaiser,0.0227255,125,Udyr,0.004221115,112,Sylas,0.018578414,15,Caitlyn,0.057982788,148,Zyra,0.009091252,4,,,,,,1,19
25,74,Mordekaiser,0.0227255,125,Udyr,0.004221115,112,Sylas,0.018578414,15,Caitlyn,0.057982788,148,Zyra,0.009091252,4,0.34,0.39,0.52,,,1,19
26,74,Mordekaiser,0.0227255,125,Udyr,0.004221115,112,Sylas,0.018578414,15,Caitlyn,0.057982788,148,Zyra,0.009091252,4,0.34,0.39,0.52,TRUE,TRUE,1,19
27,85,Ornn,0.019384113,25,Elise,0.034180743,133,Vladimir,0.012878283,48,Kai'Sa,0.054491897,66,Lulu,0.029720048,1,,,,,,1,19
28,85,Ornn,0.019384113,25,Elise,0.034180743,133,Vladimir,0.012878283,48,Kai'Sa,0.054491897,66,Lulu,0.029720048,1,0.3,0.31,0.41,,,1,19
29,85,Ornn,0.019384113,25,Elise,0.034180743,133,Vladimir,0.012878283,48,Kai'Sa,0.054491897,66,Lulu,0.029720048,1,0.3,0.31,0.41,TRUE,FALSE,1,19
30,77,Nasus,0.009091252,62,Lee Sin,0.101489841,129,Veigar,0.007578711,48,Kai'Sa,0.054491897,88,Pyke,0.033362055,2,,,,,,0,19
31,77,Nasus,0.009091252,62,Lee Sin,0.101489841,129,Veigar,0.007578711,48,Kai'Sa,0.054491897,88,Pyke,0.033362055,2,0.13,0.15,0.28,,,0,19
32,77,Nasus,0.009091252,62,Lee Sin,0.101489841,129,Veigar,0.007578711,48,Kai'Sa,0.054491897,88,Pyke,0.033362055,2,0.13,0.15,0.28,TRUE,TRUE,0,19
33,74,Mordekaiser,0.0227255,139,Xin Zhao,0.007050031,144,Zed,0.020949202,137,Xayah,0.012588344,63,Leona,0.037140964,1,,,,,,4,19
34,74,Mordekaiser,0.0227255,139,Xin Zhao,0.007050031,144,Zed,0.020949202,137,Xayah,0.012588344,63,Leona,0.037140964,1,0.02,0.05,0.11,,,4,19
35,74,Mordekaiser,0.0227255,139,Xin Zhao,0.007050031,144,Zed,0.020949202,137,Xayah,0.012588344,63,Leona,0.037140964,1,0.02,0.05,0.11,TRUE,TRUE,4,19
36,22,Dr. Mundo,0.003045846,24,Ekko,0.036034711,147,Zoe,0.012126756,120,Tristana,0.012472678,78,Nautilus,0.040703463,2,,,,,,2,19
37,22,Dr. Mundo,0.003045846,24,Ekko,0.036034711,147,Zoe,0.012126756,120,Tristana,0.012472678,78,Nautilus,0.040703463,2,0.73,0.72,0.76,,,2,19
38,22,Dr. Mundo,0.003045846,24,Ekko,0.036034711,147,Zoe,0.012126756,120,Tristana,0.012472678,78,Nautilus,0.040703463,2,0.73,0.72,0.76,FALSE,TRUE,2,19
39,85,Ornn,0.019384113,139,Xin Zhao,0.007050031,61,LeBlanc,0.016802183,15,Caitlyn,0.057982788,142,Yuumi,0.047117178,4,,,,,,4,19
40,85,Ornn,0.019384113,139,Xin Zhao,0.007050031,61,LeBlanc,0.016802183,15,Caitlyn,0.057982788,142,Yuumi,0.047117178,4,0.79,0.53,0.99,,,4,19
41,85,Ornn,0.019384113,139,Xin Zhao,0.007050031,61,LeBlanc,0.016802183,15,Caitlyn,0.057982788,142,Yuumi,0.047117178,4,0.79,0.53,0.99,FALSE,TRUE,4,19
42,112,Sylas,0.006320927,135,Warwick,0.017167223,116,Talon,0.010478464,128,Vayne,0.038461798,11,Bard,0.019011544,4,,,,,,5,19
43,112,Sylas,0.006320927,135,Warwick,0.017167223,116,Talon,0.010478464,128,Vayne,0.038461798,11,Bard,0.019011544,4,0.98,0.99,0.97,,,5,19
44,112,Sylas,0.006320927,135,Warwick,0.017167223,116,Talon,0.010478464,128,Vayne,0.038461798,11,Bard,0.019011544,4,0.98,0.99,0.97,FALSE,TRUE,5,19
45,133,Vladimir,0.009201005,25,Elise,0.034180743,1,Ahri,0.014699675,73,Miss Fortune,0.060379907,119,Thresh,0.078762366,2,,,,,,1,19
46,133,Vladimir,0.009201005,25,Elise,0.034180743,1,Ahri,0.014699675,73,Miss Fortune,0.060379907,119,Thresh,0.078762366,2,0.25,0.52,0.7,,,1,19
47,133,Vladimir,0.009201005,25,Elise,0.034180743,1,Ahri,0.014699675,73,Miss Fortune,0.060379907,119,Thresh,0.078762366,2,0.25,0.52,0.7,FALSE,FALSE,1,19
48,33,Garen,0.03438593,101,Sett,0.01008676,98,Ryze,0.005961474,15,Caitlyn,0.057982788,88,Pyke,0.033362055,1,,,,,,5,19
49,33,Garen,0.03438593,101,Sett,0.01008676,98,Ryze,0.005961474,15,Caitlyn,0.057982788,88,Pyke,0.033362055,1,0.18,0.29,0.35,,,5,19
50,33,Garen,0.03438593,101,Sett,0.01008676,98,Ryze,0.005961474,15,Caitlyn,0.057982788,88,Pyke,0.033362055,1,0.18,0.29,0.35,FALSE,TRUE,5,19
51,33,Garen,0.03438593,24,Ekko,0.036034711,123,Twisted Fate,0.007313575,47,Jinx,0.023751141,67,Lux,0.019633158,4,,,,,,1,19
52,33,Garen,0.03438593,24,Ekko,0.036034711,123,Twisted Fate,0.007313575,47,Jinx,0.023751141,67,Lux,0.019633158,4,0.16,0.27,0.31,,,1,19
53,33,Garen,0.03438593,24,Ekko,0.036034711,123,Twisted Fate,0.007313575,47,Jinx,0.023751141,67,Lux,0.019633158,4,0.16,0.27,0.31,TRUE,TRUE,1,19
54,16,Camille,0.007102611,143,Zac,0.038810658,21,Diana,0.021770914,15,Caitlyn,0.057982788,76,Nami,0.037765663,2,,,,,,3,19
55,16,Camille,0.007102611,143,Zac,0.038810658,21,Diana,0.021770914,15,Caitlyn,0.057982788,76,Nami,0.037765663,2,0.15,0.91,0.19,,,3,19
56,16,Camille,0.007102611,143,Zac,0.038810658,21,Diana,0.021770914,15,Caitlyn,0.057982788,76,Nami,0.037765663,2,0.15,0.91,0.19,FALSE,TRUE,3,19
57,16,Camille,0.007102611,44,Jax,0.010310286,79,Neeko,0.004954702,15,Caitlyn,0.057982788,7,Aphelios,0.003321989,1,,,,,,2,19
58,16,Camille,0.007102611,44,Jax,0.010310286,79,Neeko,0.004954702,15,Caitlyn,0.057982788,7,Aphelios,0.003321989,1,0.28,0.43,0.55,,,2,19
59,16,Camille,0.007102611,44,Jax,0.010310286,79,Neeko,0.004954702,15,Caitlyn,0.057982788,7,Aphelios,0.003321989,1,0.28,0.43,0.55,TRUE,FALSE,2,19
0,85,Ornn,0.019384113,25,Elise,0.034180743,81,Nocturne,0.001942832,65,Lucian,0.040703463,11,Bard,0.019011544,3,,,,,,0,20
1,85,Ornn,0.019384113,25,Elise,0.034180743,81,Nocturne,0.001942832,65,Lucian,0.040703463,11,Bard,0.019011544,3,0.23,0.38,0.58,,,0,20
2,85,Ornn,0.019384113,25,Elise,0.034180743,81,Nocturne,0.001942832,65,Lucian,0.040703463,11,Bard,0.019011544,3,0.23,0.38,0.58,TRUE,FALSE,0,20
3,101,Sett,0.025955061,62,Lee Sin,0.101489841,5,Anivia,0.00431778,46,Jhin,0.03707166,100,Senna,0.068278741,2,,,,,,0,20
4,101,Sett,0.025955061,62,Lee Sin,0.101489841,5,Anivia,0.00431778,46,Jhin,0.03707166,100,Senna,0.068278741,2,0.39,0.53,0.53,,,0,20
5,101,Sett,0.025955061,62,Lee Sin,0.101489841,5,Anivia,0.00431778,46,Jhin,0.03707166,100,Senna,0.068278741,2,0.39,0.53,0.53,TRUE,TRUE,0,20
6,59,Kled,0.006320927,92,Rammus,0.009146101,67,Lux,0.011326024,127,Varus,0.012357191,119,Thresh,0.078762366,3,,,,,,0,20
7,59,Kled,0.006320927,92,Rammus,0.009146101,67,Lux,0.011326024,127,Varus,0.012357191,119,Thresh,0.078762366,3,0.19,0.27,0.46,,,0,20
8,59,Kled,0.006320927,92,Rammus,0.009146101,67,Lux,0.011326024,127,Varus,0.012357191,119,Thresh,0.078762366,3,0.19,0.27,0.46,TRUE,TRUE,0,20
9,98,Ryze,0.00281886,62,Lee Sin,0.101489841,130,Vel'Koz,0.005605598,65,Lucian,0.040703463,50,Karma,0.013930991,2,,,,,,0,20
